id,roleta,contagens,estrategia,criadoem,hora,data
1,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672094063008,22:34:23,2022-12-26
2,Football Roulette,6,Ausencia Coluna 3,1672094063019,22:34:23,2022-12-26
3,Super Spin Roulette,6,Ausencia Coluna 3,1672167191882,18:53:11,2022-12-27
4,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672167191926,18:53:11,2022-12-27
5,bet365 Roulette,6,Ausencia Coluna 3,1672167191939,18:53:11,2022-12-27
6,Quantum Roulette Live,6,Ausencia Coluna 3,1672167191975,18:53:11,2022-12-27
7,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167191910,18:53:11,2022-12-27
8,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672167191988,18:53:11,2022-12-27
9,Football Roulette,6,Ausencia Coluna 3,1672167192002,18:53:12,2022-12-27
10,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672167192011,18:53:12,2022-12-27
11,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672167191959,18:53:11,2022-12-27
12,Speed Roulette,6,Ausencia Coluna 3,1672167192029,18:53:12,2022-12-27
13,Hindi Roulette,6,Ausencia Coluna 3,1672167192024,18:53:12,2022-12-27
14,Greek  Roulette,6,Ausencia Coluna 3,1672167192039,18:53:12,2022-12-27
15,Turkish Roulette,6,Ausencia Coluna 3,1672167192075,18:53:12,2022-12-27
16,Roleta Brasileira,6,Ausencia Coluna 3,1672167192092,18:53:12,2022-12-27
17,Quantum Auto Roulette,6,Ausencia Coluna 3,1672167192110,18:53:12,2022-12-27
18,Prestige Roulette,6,Ausencia Coluna 3,1672167192125,18:53:12,2022-12-27
19,American Roulette,6,Ausencia Coluna 3,1672167192132,18:53:12,2022-12-27
20,Speed Auto Roulette,6,Ausencia Coluna 3,1672167192120,18:53:12,2022-12-27
21,Deutsches Roulette,6,Ausencia Coluna 3,1672167192374,18:53:12,2022-12-27
22,Nederlandstalige Roulette,6,Ausencia Coluna 3,1672167192369,18:53:12,2022-12-27
23,Auto Roulette,6,Ausencia Coluna 3,1672167192378,18:53:12,2022-12-27
24,UK Roulette,6,Ausencia Coluna 3,1672167193046,18:53:13,2022-12-27
25,French Roulette,6,Ausencia Coluna 3,1672167193054,18:53:13,2022-12-27
26,Greek Quantum Roulette,6,Ausencia Coluna 3,1672167193042,18:53:13,2022-12-27
27,Roulette,6,Ausencia Coluna 3,1672167193063,18:53:13,2022-12-27
28,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672167193058,18:53:13,2022-12-27
29,Football French Roulette,6,Ausencia Coluna 3,1672167193917,18:53:13,2022-12-27
30,Roulette Italiana,6,Ausencia Coluna 3,1672167193911,18:53:13,2022-12-27
31,Arabic Roulette,6,Ausencia Coluna 3,1672167193922,18:53:13,2022-12-27
32,Bucharest French Roulette,6,Ausencia Coluna 3,1672167193907,18:53:13,2022-12-27
33,Auto Roulette 2,6,Ausencia Coluna 3,1672167200659,18:53:20,2022-12-27
34,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672167200709,18:53:20,2022-12-27
35,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167200714,18:53:20,2022-12-27
36,Bucharest Roulette,6,Ausencia Coluna 3,1672167200680,18:53:20,2022-12-27
37,Super Spin Roulette,6,Ausencia Coluna 3,1672167204759,18:53:24,2022-12-27
38,bet365 Roulette,6,Ausencia Coluna 3,1672167204764,18:53:24,2022-12-27
39,Roulette,6,Ausencia Coluna 3,1672167204771,18:53:24,2022-12-27
40,Football Roulette,6,Ausencia Coluna 3,1672167204777,18:53:24,2022-12-27
41,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672167224927,18:53:44,2022-12-27
42,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672167224931,18:53:44,2022-12-27
43,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672167224934,18:53:44,2022-12-27
44,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167230970,18:53:50,2022-12-27
45,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672167230975,18:53:50,2022-12-27
46,Hindi Roulette,6,Ausencia Coluna 3,1672167230978,18:53:50,2022-12-27
47,bet365 Roulette,6,Ausencia Coluna 3,1672167241047,18:54:01,2022-12-27
48,Quantum Roulette Live,6,Ausencia Coluna 3,1672167247108,18:54:07,2022-12-27
49,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672167247113,18:54:07,2022-12-27
50,Super Spin Roulette,6,Ausencia Coluna 3,1672167253154,18:54:13,2022-12-27
51,Roulette,6,Ausencia Coluna 3,1672167253165,18:54:13,2022-12-27
52,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672167261241,18:54:21,2022-12-27
53,Football Roulette,6,Ausencia Coluna 3,1672167261246,18:54:21,2022-12-27
54,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167273333,18:54:33,2022-12-27
55,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672167273336,18:54:33,2022-12-27
56,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672167279395,18:54:39,2022-12-27
57,bet365 Roulette,6,Ausencia Coluna 3,1672167279401,18:54:39,2022-12-27
58,Hindi Roulette,6,Ausencia Coluna 3,1672167279405,18:54:39,2022-12-27
59,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672167295549,18:54:55,2022-12-27
60,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672167295555,18:54:55,2022-12-27
61,Super Spin Roulette,6,Ausencia Coluna 3,1672167301602,18:55:01,2022-12-27
62,Roulette,6,Ausencia Coluna 3,1672167301608,18:55:01,2022-12-27
